Channel number	pin number	Group	Name	Radius	Theta	Phi	Color
1	1	1	Fp1	1	-90	-72	green
2	2	1	Fz	1	45	90	green
3	3	1	F3	1	-60	-51	green
4	4	1	F7	1	-90	-36	green
5	5	1	FT9	1	-113	-18	green
6	6	1	FC5	1	-69	-22	green
7	7	1	FC1	1	-31	-46	green
8	8	1	C3	1	-45	0	green
9	9	1	T7	1	-90	0	green
10	10	1	TP9	1	-113	18	green
11	11	1	CP5	1	-69	21	green
12	12	1	CP1	1	-31	46	green
13	13	1	Pz	1	45	-90	green
14	14	1	P3	1	-60	51	green
15	15	1	P7	1	-90	36	green
16	16	1	O1	1	-90	72	green
17	17	1	Oz	1	90	-90	green
18	18	1	O2	1	90	-72	green
19	19	1	P4	1	60	-51	green
20	20	1	P8	1	90	-36	green
21	21	1	TP10	1	113	-18	green
22	22	1	CP6	1	69	-21	green
23	23	1	CP2	1	31	-46	green
24	24	1	Cz	1	0	0	green
25	25	1	C4	1	45	0	green
26	26	1	T8	1	90	0	green
27	27	1	FT10	1	113	18	green
28	28	1	FC6	1	69	21	green
29	29	1	FC2	1	31	46	green
30	30	1	F4	1	60	51	green
31	31	1	F8	1	90	36	green
32	32	1	Fp2	1	90	72	green
33	1	2	AF7	1	-90	-54	yellow
34	2	2	AF3	1	-74	-68	yellow
35	3	2	AFz	1	67	90	yellow
36	4	2	F1	1	-49	-68	yellow
37	5	2	F5	1	-74	-41	yellow
38	6	2	FT7	1	-90	-18	yellow
39	7	2	FC3	1	-49	-29	yellow
40	8	2	FCz	1	23	90	yellow
41	9	2	C1	1	-23	0	yellow
42	10	2	C5	1	-68	0	yellow
43	11	2	TP7	1	-90	18	yellow
44	12	2	CP3	1	-49	29	yellow
45	13	2	P1	1	-49	68	yellow
46	14	2	P5	1	-74	41	yellow
47	15	2	PO7	1	-90	54	yellow
48	16	2	PO3	1	-74	68	yellow
49	17	2	POz	1	67	-90	yellow
50	18	2	PO4	1	74	-68	yellow
51	19	2	PO8	1	90	-54	yellow
52	20	2	P6	1	74	-41	yellow
53	21	2	P2	1	49	-68	yellow
54	22	2	CPz	1	22	-90	yellow
55	23	2	CP4	1	49	-29	yellow
56	24	2	TP8	1	90	-18	yellow
57	25	2	C6	1	68	0	yellow
58	26	2	C2	1	23	0	yellow
59	27	2	FC4	1	49	29	yellow
60	28	2	FT8	1	90	18	yellow
61	29	2	F6	1	74	41	yellow
62	30	2	F2	1	49	68	yellow
63	31	2	AF4	1	74	68	yellow
64	32	2	AF8	1	90	54	yellow
65	1	3	F9	1	-113	-36	red
66	2	3	AFF1h	1	-57	-82	red
67	3	3	FFC1h	1	-35	-73	red
68	4	3	FFC5h	1	-62	-35	red
69	5	3	FTT7h	1	-79	-10	red
70	6	3	FCC3h	1	-35	-19	red
71	7	3	CCP1h	1	-16	45	red
72	8	3	CCP5h	1	-57	12	red
73	9	3	TPP7h	1	-81	29	red
74	10	3	P9	1	-113	36	red
75	11	3	PPO9h	1	-101	45	red
76	12	3	PO9	1	-113	54	red
77	13	3	O9	1	-112	72	red
78	14	3	OI1h	1	-101	81	red
79	15	3	PPO1h	1	-57	82	red
80	16	3	CPP3h	1	-46	48	red
81	17	3	CPP4h	1	46	-48	red
82	18	3	PPO2h	1	57	-82	red
83	19	3	OI2h	1	101	-81	red
84	20	3	O10	1	112	-72	red
85	21	3	PO10	1	113	-54	red
86	22	3	PPO10h	1	101	-45	red
87	23	3	P10	1	113	-36	red
88	24	3	TPP8h	1	81	-29	red
